ParkName,State,partySize,BookingType,RateType,Equipment
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Valleyview,SWITZERLAND ,2,CampsitePermit,Full,LT20ft
Porters Lake,ON ,2,CampsitePermit,Full,LT30ft
Whycocomagh,QC ,3,CampsitePermit,Full,LT20ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT20ft
Porters Lake,NS ,6,CampsitePermit,Full,Tents
The Islands,DE ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Blomidon,IL ,2,CampsitePermit,Full,ST
Salsman,NS ,2,CampsitePermit,Senior,LT30ft
Five Islands,NS ,2,CampsitePermit,Full,LT20ft
Laurie,NS ,2,CampsitePermit,Full,LT20ft
Battery,ON ,2,CampsitePermit,Senior,LT40ft
Thomas Raddall,ME ,2,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Whycocomagh,QC ,6,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,3,CampsitePermit,Veteran,ST
Graves Island,SWITZERLAND ,1,CampsitePermit,Full,LT30ft
Graves Island,QC ,4,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Full,ST
Smileys,GERMANY ,3,CampsitePermit,Full,ST
Battery,ON ,1,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Full,LT30ft
Porters Lake,MD ,2,CampsitePermit,Full,LT30ft
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Whycocomagh,ME ,1,CampsitePermit,Full,ST
Graves Island,NS ,1,CampsitePermit,Full,ST
Ellenwood Lake,NS ,8,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Senior,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Veteran,LT20ft
Valleyview,NS ,1,CampsitePermit,Senior,ST
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Graves Island,NH ,6,CampsitePermit,Full,Tents
Whycocomagh,QC ,1,CampsitePermit,Senior,ST
Caribou Munroes,NS ,6,CampsitePermit,Full,Tents
Rissers Beach,NS ,4,CampsitePermit,Full,LT30ft
Mira River,QC ,2,CampsitePermit,Full,LT20ft
Boylston,AB ,2,CampsitePermit,Full,ST
Amherst Shore,QC ,2,CampsitePermit,Senior,LT30ft
Amherst Shore,NB ,2,CampsitePermit,Full,ST
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Laurie,NS ,2,CampsitePermit,Full,LT30ft
Blomidon,QC ,2,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,3,CampsitePermit,Full,ST
Dollar Lake,NS ,5,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,3,CampsitePermit,Full,ST
Smileys,NS ,4,CampsitePermit,Full,ST
Five Islands,NB ,2,CampsitePermit,Full,ST
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,ST
Thomas Raddall,QC ,2,CampsitePermit,Full,ST
The Islands,NS ,4,CampsitePermit,Full,LT30ft
Whycocomagh,ON ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Battery,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,AB ,5,CampsitePermit,Full,LT40ft
Caribou Munroes,QC ,2,CampsitePermit,Full,ST
Porters Lake,GERMANY ,4,CampsitePermit,Full,ST
Salsman,QC ,4,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT20ft
The Islands,NS ,2,CampsitePermit,Full,LT20ft
Amherst Shore,ON ,2,CampsitePermit,Senior,ST
Whycocomagh,BC ,2,CampsitePermit,Full,LT20ft
Porters Lake,NS ,6,CampsitePermit,Full,Tents
Laurie,NS ,4,CampsitePermit,Veteran,Tents
Porters Lake,SWITZERLAND ,4,CampsitePermit,Full,LT30ft
Battery,FRANCE ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT30ft
Valleyview,NB ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,3,CampsitePermit,Full,ST
Caribou Munroes,QC ,2,CampsitePermit,Full,ST
Blomidon,QC ,5,CampsitePermit,Full,Tents
Rissers Beach,NS ,1,CampsitePermit,Full,LT20ft
Mira River,NS ,3,CampsitePermit,Full,LT30ft
Five Islands,ON ,3,CampsitePermit,Full,ST
Mira River,NS ,3,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT40ft
Rissers Beach,NS ,1,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT20ft
Mira River,NS ,6,CampsitePermit,Full,Tents
Dollar Lake,NS ,3,CampsitePermit,Senior,ST
Mira River,MI ,2,CampsitePermit,Senior,ST
Mira River,NS ,1,CampsitePermit,Full,LT40ft
Porters Lake,NS ,4,CampsitePermit,Full,Tents
Rissers Beach,NS ,2,CampsitePermit,Full,Tents
Dollar Lake,NS ,2,CampsitePermit,Full,LT20ft
Laurie,AUSTRIA ,1,CampsitePermit,Full,ST
Battery,NS ,5,CampsitePermit,Full,LT20ft
Laurie,NS ,2,CampsitePermit,Full,ST
Mira River,BC ,1,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,3,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,4,CampsitePermit,Full,Tents
Laurie,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,QC ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Senior,ST
Graves Island,ON ,2,CampsitePermit,Full,Tents
Dollar Lake,NB ,2,CampsitePermit,Full,ST
Valleyview,QC ,1,CampsitePermit,Full,ST
Graves Island,NY ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NB ,2,CampsitePermit,Full,ST
Blomidon,FL ,1,CampsitePermit,Senior,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Graves Island,MI ,2,CampsitePermit,Senior,LT30ft
Amherst Shore,NS ,2,CampsitePermit,Full,LT30ft
The Islands,NS ,1,CampsitePermit,Full,ST
Thomas Raddall,BC ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Porters Lake,NS ,3,CampsitePermit,Full,LT20ft
Laurie,QC ,3,CampsitePermit,Full,Tents
Amherst Shore,ON ,2,CampsitePermit,Senior,LT30ft
Whycocomagh,ON ,4,CampsitePermit,Senior,LT30ft
Blomidon,ON ,2,CampsitePermit,Full,ST
Five Islands,ON ,2,CampsitePermit,Full,ST
Laurie,QC ,2,CampsitePermit,Full,ST
Mira River,ON ,5,CampsitePermit,Full,ST
Valleyview,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,3,CampsitePermit,Senior,LT30ft
Porters Lake,NS ,4,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Laurie,QC ,4,CampsitePermit,Full,ST
Laurie,NY ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Whycocomagh,NS ,3,CampsitePermit,Full,Tents
Whycocomagh,NS ,2,CampsitePermit,Senior,LT20ft
Whycocomagh,MA ,2,CampsitePermit,Full,ST
Laurie,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Full,LT20ft
Blomidon,NB ,2,CampsitePermit,Full,ST
Battery,NS ,4,CampsitePermit,Full,LT20ft
Amherst Shore,QC ,2,CampsitePermit,Senior,ST
Dollar Lake,NS ,2,CampsitePermit,Full,Tents
Smileys,QC ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,LT20ft
Ellenwood Lake,NS ,8,CampsitePermit,Full,LT30ft
Five Islands,PA ,1,CampsitePermit,Senior,ST
Mira River,NS ,2,CampsitePermit,Senior,LT30ft
Laurie,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,6,CampsitePermit,Full,Tents
Blomidon,QC ,2,CampsitePermit,Full,ST
Five Islands,QC ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,LT30ft
Graves Island,NS ,3,CampsitePermit,Full,LT30ft
Five Islands,NS ,2,CampsitePermit,Senior,LT20ft
Five Islands,NS ,3,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Smileys,PE ,2,CampsitePermit,Full,ST
Five Islands,NB ,4,CampsitePermit,Full,Tents
Caribou Munroes,QC ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,5,CampsitePermit,Full,LT30ft
Blomidon,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Senior,ST
Amherst Shore,ON ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,Tents
Salsman,NS ,2,CampsitePermit,Senior,LT20ft
Dollar Lake,NS ,2,CampsitePermit,Senior,LT30ft
Five Islands,BC ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,1,CampsitePermit,Senior,ST
Five Islands,NS ,2,CampsitePermit,Full,ST
Porters Lake,NS ,3,CampsitePermit,Full,ST
Five Islands,TX ,2,CampsitePermit,Senior,LT20ft
Porters Lake,QC ,3,CampsitePermit,Full,ST
Mira River,NS ,3,CampsitePermit,Full,LT30ft
Five Islands,NS ,4,CampsitePermit,Full,ST
Amherst Shore,NETHERLANDS ,4,CampsitePermit,Full,LT40ft
Mira River,NS ,2,CampsitePermit,Full,LT40ft
Battery,SWITZERLAND ,2,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,5,CampsitePermit,Full,ST
Laurie,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,6,CampsitePermit,Full,LT30ft
Mira River,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,SWITZERLAND ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Porters Lake,FL ,1,CampsitePermit,Full,ST
Amherst Shore,NB ,2,CampsitePermit,Full,ST
Five Islands,NS ,3,CampsitePermit,Full,ST
Graves Island,QC ,2,CampsitePermit,Full,LT40ft
Whycocomagh,AUSTRALIA ,2,CampsitePermit,Full,LT30ft
The Islands,NS ,2,CampsitePermit,Full,ST
Whycocomagh,WA ,2,CampsitePermit,Full,LT20ft
Battery,VA ,2,CampsitePermit,Veteran,LT20ft
Rissers Beach,NS ,1,CampsitePermit,Full,LT20ft
Graves Island,NS ,4,CampsitePermit,Full,LT30ft
Smileys,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Blomidon,PE ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,3,CampsitePermit,Full,Tents
Caribou Munroes,QC ,2,CampsitePermit,Full,ST
Blomidon,NS ,4,CampsitePermit,Full,ST
Caribou Munroes,ON ,2,CampsitePermit,Full,ST
Five Islands,NS ,3,CampsitePermit,Full,ST
Amherst Shore,NB ,4,CampsitePermit,Full,LT20ft
Ellenwood Lake,NS ,5,CampsitePermit,Full,ST
Porters Lake,NS ,6,CampsitePermit,Full,Tents
Valleyview,QC ,2,CampsitePermit,Full,Tents
Porters Lake,NS ,2,CampsitePermit,Full,ST
Whycocomagh,NS ,2,CampsitePermit,Full,LT30ft
Ellenwood Lake,NS ,3,CampsitePermit,Full,ST
Battery,IL ,4,CampsitePermit,Full,ST
Graves Island,AB ,1,CampsitePermit,Full,ST
Amherst Shore,QC ,5,CampsitePermit,Full,ST
Caribou Munroes,SK ,2,CampsitePermit,Senior,LT20ft
Blomidon,QC ,4,CampsitePermit,Full,ST
Five Islands,QC ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT40ft
Smileys,NS ,4,CampsitePermit,Full,LT30ft
Graves Island,NS ,2,CampsitePermit,Senior,LT40ft
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Mira River,ON ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,2,CampsitePermit,Senior,ST
Cape Chignecto,ME ,2,BackcountryPermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,LT30ft
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Ellenwood Lake,NS ,4,CampsitePermit,Full,ST
Whycocomagh,PE ,2,CampsitePermit,Senior,ST
Smileys,NS ,1,CampsitePermit,Full,ST
Mira River,QC ,2,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Senior,LT30ft
Rissers Beach,NS ,6,CampsitePermit,Full,LT30ft
Graves Island,MB ,2,CampsitePermit,Full,ST
Battery,AB ,4,CampsitePermit,Full,Greater than 40ft
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Five Islands,QC ,2,CampsitePermit,Senior,LT20ft
Battery,NB ,1,CampsitePermit,Full,ST
Dollar Lake,NS ,3,CampsitePermit,Full,ST
Laurie,QC ,2,CampsitePermit,Full,LT20ft
Whycocomagh,NB ,2,CampsitePermit,Full,LT30ft
Whycocomagh,ON ,6,YurtPermit,Full,Tents
Amherst Shore,ON ,2,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Valleyview,MA ,5,CampsitePermit,Full,Tents
Battery,ON ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,1,CampsitePermit,Full,LT20ft
Mira River,NH ,1,CampsitePermit,Full,ST
Boylston,BC ,4,CampsitePermit,Full,ST
Caribou Munroes,NS ,7,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Full,ST
Blomidon,ON ,2,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Full,LT30ft
Porters Lake,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,ON ,2,CampsitePermit,Full,LT30ft
Mira River,BC ,2,CampsitePermit,Senior,ST
Rissers Beach,NS ,3,CampsitePermit,Full,ST
Whycocomagh,SWITZERLAND ,3,CampsitePermit,Full,LT30ft
Smileys,NS ,4,CampsitePermit,Full,ST
Cape Chignecto,NS ,3,BackcountryPermit,Full,ST
Whycocomagh,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,3,CampsitePermit,Full,ST
Graves Island,TX ,2,CampsitePermit,Senior,ST
Rissers Beach,QC ,1,CampsitePermit,Full,ST
Five Islands,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT20ft
Mira River,ON ,2,CampsitePermit,Full,LT20ft
Whycocomagh,QC ,6,CampsitePermit,Full,ST
Blomidon,NS ,1,CampsitePermit,Full,ST
The Islands,GERMANY ,1,CampsitePermit,Full,LT30ft
Blomidon,QC ,4,CampsitePermit,Full,ST
Graves Island,NS ,1,CampsitePermit,Full,LT20ft
Amherst Shore,ON ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,LT40ft
Blomidon,NH ,2,CampsitePermit,Senior,ST
Thomas Raddall,NS ,4,CampsitePermit,Full,LT40ft
Dollar Lake,NS ,2,CampsitePermit,Full,LT20ft
Blomidon,NS ,2,CampsitePermit,Senior,LT20ft
Ellenwood Lake,NETHERLANDS ,2,CampsitePermit,Full,ST
Mira River,NS ,6,CampsitePermit,Full,LT20ft
Caribou Munroes,NS ,2,CampsitePermit,Senior,LT20ft
Smileys,NS ,2,CampsitePermit,Full,LT20ft
Amherst Shore,QC ,2,CampsitePermit,Senior,LT20ft
Mira River,QC ,3,CampsitePermit,Full,LT20ft
Laurie,NC ,1,CampsitePermit,Full,ST
Blomidon,BC ,1,CampsitePermit,Full,ST
Smileys,NS ,4,CampsitePermit,Full,LT30ft
Mira River,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Battery,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,ST
Whycocomagh,GA ,2,CampsitePermit,Senior,ST
Mira River,NS ,2,CampsitePermit,Full,LT40ft
Thomas Raddall,QC ,2,CampsitePermit,Full,ST
Blomidon,NS ,4,CampsitePermit,Full,Tents
Smileys,NS ,4,CampsitePermit,Full,Tents
Smileys,NS ,3,CampsitePermit,Full,LT30ft
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Graves Island,PE ,1,CampsitePermit,Senior,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,LT30ft
Laurie,NS ,4,CampsitePermit,Full,LT30ft
Valleyview,NS ,2,CampsitePermit,Full,ST
Whycocomagh,NS ,2,YurtPermit,Senior,Tents
Blomidon,NJ ,3,CampsitePermit,Full,ST
Porters Lake,UK,4,CampsitePermit,Full,LT40ft
Mira River,NS ,4,CampsitePermit,Full,LT20ft
Caribou Munroes,NS ,5,CampsitePermit,Senior,Tents
Graves Island,NS ,3,CampsitePermit,Full,LT30ft
Ellenwood Lake,ON ,2,CampsitePermit,Senior,LT20ft
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Rissers Beach,KY ,2,CampsitePermit,Full,ST
Cape Chignecto,NS ,5,BackcountryPermit,Full,Cabin
Amherst Shore,NS ,2,CampsitePermit,Senior,LT20ft
Whycocomagh,ON ,2,CampsitePermit,Senior,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,LT30ft
Laurie,NS ,4,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT30ft
Porters Lake,QC ,1,CampsitePermit,Full,ST
Mira River,NB ,1,CampsitePermit,Full,ST
Laurie,BC ,4,CampsitePermit,Senior,LT20ft
Caribou Munroes,NS ,1,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,LT20ft
Laurie,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Full,LT30ft
Graves Island,ON ,1,CampsitePermit,Full,ST
Thomas Raddall,NS ,1,CampsitePermit,Full,ST
Whycocomagh,NS ,2,CampsitePermit,Senior,ST
Laurie,QC ,4,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT40ft
Blomidon,NS ,4,CampsitePermit,Full,LT20ft
Blomidon,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,3,CampsitePermit,Full,ST
Cape Chignecto,NB ,1,BackcountryPermit,Full,ST
Whycocomagh,QC ,3,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,5,CampsitePermit,Full,ST
Caribou Munroes,ON ,1,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Senior,LT20ft
Thomas Raddall,PA ,2,CampsitePermit,Senior,ST
Laurie,NS ,2,CampsitePermit,Full,ST
Graves Island,GERMANY ,4,CampsitePermit,Full,ST
Amherst Shore,NS ,4,CampsitePermit,Full,LT30ft
Thomas Raddall,BC ,5,CampsitePermit,Full,Tents
Caribou Munroes,NS ,3,CampsitePermit,Full,LT30ft
Graves Island,NS ,3,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,ST
Battery,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,1,CampsitePermit,Full,LT30ft
Mira River,NS ,3,CampsitePermit,Full,ST
Amherst Shore,NS ,4,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Senior,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Porters Lake,QC ,4,CampsitePermit,Full,ST
Blomidon,BC ,2,CampsitePermit,Senior,ST
Rissers Beach,NS ,5,CampsitePermit,Full,LT20ft
Porters Lake,ON ,2,CampsitePermit,Full,ST
Laurie,ON ,4,CampsitePermit,Full,ST
Mira River,NS ,6,CampsitePermit,Full,LT40ft
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Whycocomagh,PE ,3,CampsitePermit,Full,LT20ft
Caribou Munroes,NS ,6,CampsitePermit,Full,LT20ft
The Islands,SWITZERLAND ,1,CampsitePermit,Senior,ST
Thomas Raddall,FRANCE ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,2,CampsitePermit,Full,LT20ft
Whycocomagh,NS ,2,CampsitePermit,Senior,LT30ft
Thomas Raddall,NS ,6,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Full,ST
Five Islands,CA ,1,CampsitePermit,Senior,LT20ft
Dollar Lake,NS ,6,CampsitePermit,Full,Tents
Amherst Shore,MA ,3,CampsitePermit,Full,Tents
Rissers Beach,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,QC ,3,CampsitePermit,Veteran,ST
Mira River,NS ,3,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,LT20ft
Porters Lake,NS ,4,CampsitePermit,Full,LT20ft
Thomas Raddall,QC ,2,CampsitePermit,Full,ST
